"municipio","cod_ibge","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
"Alta Floresta",5100250,"Alta Floresta","14","26","3",0.480345160024284,1.1383491856704,2.22894311229393,0.588426045239692,-0.218346177631892,1.12267975119
"Alto Araguaia",5100300,"Rondonopolis","0","8","2",0.0257668807826555,0.705441828826749,3.7543106881418,0.555746255071389,NA,NA
"Aripuana",5101407,"Juina","26","9","1",0.436227432728996,0.820901289501719,1.3846852882168,1.19031365227236,3.03174603174603,1.48380110778754
"Barra do Garcas",5101803,"Barra do Garcas","38","49","5",-999,-999,-999,-999,0.7677540713255,1.2322464455186
"Caceres",5102504,"Caceres","16","22","5",0.719513543144681,1.31681955160308,2.17888584868851,1.18352366347644,2.09090909090909,1.37926366991677
"Campo Novo do Parecis",5102637,"Tangara da Serra","14","16","0",0.615752094068633,1.09958803943854,1.7884161920008,1.3016178636584,0.675,1.22194043759354
"Campo Verde",5102678,"Rondonopolis","38","40","0",0.752537945742676,1.0645269496237,1.45280383027304,1.22775952765999,NA,NA
"Campos de Julio",5102686,"Pontes e Lacerda","9","1","0",0.677468234199459,1.36594704456216,2.41365452506754,5.78018186780625,NA,NA
"Canarana",5102702,"Agua Boa","15","2","0",0.371058500050364,0.879355464614359,1.7218208004918,1.26360525818737,3.14603174603175,1.49649952048596
"Colider",5103205,"Colider","4","7","1",0.507062203969595,1.30575045765845,2.68703647843689,1.20843007388125,NA,NA
"Confresa",5103353,"Porto Alegre do Norte","77","58","3",0.868004869759266,1.13115104377456,1.44279160300495,1.25670899725501,0.710220451058352,1.22585382104447
"Cuiaba",5103403,"Baixada Cuiabana","926","262","24",1.34321682487075,1.47297417885782,1.6108310824743,1.19309592581575,0.231913813536458,1.17270863909759
"Guaranta do Norte",5104104,"Peixoto de Azevedo","34","3","0",1.2773118086468,1.93035789452351,2.77549043807559,1.57913541444986,NA,NA
"Jaciara",5104807,"Rondonopolis","15","34","0",-999,-999,-999,-999,-0.235792393880629,1.12074128271792
"Jangada",5104906,"Baixada Cuiabana","3","6","1",0.174743000328284,1.21085117131143,4.01968780364123,1.14267988982542,-0.357142857142857,1.107257897911
"Juina",5105150,"Juina","7","5","1",0.567939704941005,1.34593570297824,2.6354076170196,1.73919424885414,NA,NA
"Lucas do Rio Verde",5105259,"Sinop","80","40","2",1.2924171860194,1.73509920603598,2.26895732573288,1.21995529988008,0.490563073055309,1.2014474457108
"Matupa",5105606,"Peixoto de Azevedo","19","8","0",0.863355826590751,1.37264859018407,2.05146411525934,2.28951382010039,NA,NA
"Nova Mutum",5106224,"Sinop","34","31","1",1.19328246649166,1.69687744536991,2.32557758079214,1.46151469628836,1.15128205128205,1.27486066551377
"Nova Ubirata",5106240,"Sinop","10","10","0",0.198000043288865,0.667117430121332,1.59278429184178,0.877559928431283,NA,NA
"Novo Mundo",5106265,"Peixoto de Azevedo","6","8","0",0.164993644027436,0.713145039484592,1.92675166884642,0.702565040005456,NA,NA
"Pedra Preta",5106372,"Rondonopolis","21","1","0",1.01361466410599,1.67870517506682,2.58618041828795,1.89139734762598,NA,NA
"Peixoto de Azevedo",5106422,"Peixoto de Azevedo","8","27","0",0.681048777940399,1.32317828284783,2.280889406005,1.36650286838923,0.718367346938775,1.22675903169785
"Primavera do Leste",5107040,"Rondonopolis","134","43","1",0.922920730060851,1.17616087821877,1.47198373910983,1.28699610908678,0.522598826853366,1.20500697391058
"Querencia",5107065,"Agua Boa","10","17","1",0.690123423687622,1.29868771635107,2.19060902670861,1.8621895405112,5.45238095238095,1.75276054341365
"Rondonopolis",5107602,"Rondonopolis","236","58","12",0.945871835778774,1.15507852472101,1.39307880007493,1.19041234802028,0.698975696009589,1.22460440381683
"Rosario Oeste",5107701,"Diamantino","11","33","1",-999,-999,-999,-999,-0.414069264069264,1.10093274158584
"Sapezal",5107875,"Tangara da Serra","26","13","0",0.54777365280733,0.921952387947463,1.43720284180764,1.3062890806754,NA,NA
"Sinop",5107909,"Sinop","60","34","6",1.07577718804362,1.45374515181399,1.91137364300274,1.47971626664052,2.37807455702193,1.41117094392931
"Sorriso",5107925,"Sinop","91","49","0",0.816721744784574,1.07757543029428,1.38884663711275,1.23531362625668,1.4235378343243,1.30511130807402
"Tangara da Serra",5107958,"Tangara da Serra","101","71","1",0.948342389349349,1.23028007155159,1.56325327216013,1.12593796557927,0.0471563071644062,1.15218002727847
"Tapurah",5108006,"Sinop","26","5","0",0.861813191523346,1.38745404715891,2.09312749289916,2.04009465020328,NA,NA
"Varzea Grande",5108402,"Baixada Cuiabana","242","107","20",0.996225774320672,1.18219258225192,1.38998194834082,1.15751830572596,0.193321107215463,1.16842056061748
"Vila Bela da Santissima Trindade",5105507,"Pontes e Lacerda","16","2","0",0.882688345812667,1.54219071777021,2.46969162393075,2.13879015536151,5,1.7024959931491
"Vila Rica",5108600,"Porto Alegre do Norte","24","2","0",0.794483116042162,1.38808277326617,2.22290042272763,1.52949693480306,NA,NA
